ContractCode,Product,ContractSize,TickSize,LongMargin,ShortMargin,OpenFee,CloseFee,OpenFeeRate,CloseFeeRate,TodayCloseFee,TodayCloseFeeRate,DailyPriceLimit
CU,Copper Cathode,5,10,0.05,0.05,-1,-1,5.5e-05,5.5e-05,0,0,0.03
AL,Aluminum,5,5,0.05,0.05,3.3,3.3,-1,-1,0,0,0.03
ZN,Zinc,5,5,0.05,0.05,3.3,3.3,-1,-1,0,0,0.04
PB,Lead,5,5,0.05,0.05,-1,-1,4.4e-05,4.4e-05,0,0,0.04
AU,Gold,1,0.05,0.04,0.04,11,11,0,0,0,0,0.03
RU,Natural Rubber,10,5,0.05,0.05,-1,-1,4.95e-05,4.95e-05,0,0,0.03
FU,Fuel Oil,50,1,0.08,0.08,-1,-1,2.2e-05,2.2e-05,0,0,0.05
RB,Steel Rebar,10,1,0.05,0.05,-1,-1,4.95e-05,4.95e-05,0,0,0.03
WR,Wire Rod,10,1,0.07,0.07,-1,-1,4.4e-05,4.4e-05,0,0,0.05
AG,Silver,15,1,0.04,0.04,-1,-1,5.5e-05,5.5e-05,0,0,0.03
BU,Bitumen,10,2,0.04,0.04,-1,-1,8.8e-05,8.8e-05,0,0,0.03
HC,Hot-rolled Coil,10,1,0.04,0.04,-1,-1,4.4e-05,4.4e-05,0,0,0.03
NI,Nickel,1,10,0.05,0.05,6.6,6.6,-1,-1,0,0,0.04
SN,Tin,1,10,0.05,0.05,3.3,3.3,-1,-1,0,0,0.04
WH,Wheat WH,20,1,0.05,0.05,2.75,2.75,-1,-1,0,0,0.04
CF,Cotton No.1,5,5,0.05,0.05,4.73,4.73,-1,-1,0,0,0.04
SR,White Sugar,10,1,0.06,0.06,3.3,3.3,-1,-1,0,0,0.04
TA,PTA,5,2,0.06,0.06,3.3,3.3,-1,-1,0,0,0.04
OI,Rapeseed Oil,10,2,0.06,0.06,2.75,2.75,-1,-1,0,0,0.04
RI,Early Rice,20,1,0.05,0.05,2.75,2.75,-1,-1,0,0,0.04
MA,Methanol,10,1,0.05,0.05,1.54,1.54,-1,-1,0,0,0.04
PM,Wheat PM,50,1,0.05,0.05,5.5,5.5,-1,-1,0,0,0.04
FG,Glass,20,1,0.06,0.06,3.3,3.3,-1,-1,0,0,0.04
RS,Rapeseed,10,1,0.05,0.05,2.2,2.2,-1,-1,0,0,0.04
RM,Rapeseed Meal,10,1,0.05,0.05,1.65,1.65,-1,-1,0,0,0.04
TC,Thermal Coal(Old),200,0.2,0.05,0.05,8.8,8.8,-1,-1,0,0,0.04
JR,Japonica Rice,20,1,0.05,0.05,3.3,3.3,-1,-1,0,0,0.04
LR,Late Indica Rice,20,1,0.05,0.05,3.3,3.3,-1,-1,0,0,0.04
SF,Ferrosilicon,5,2,0.05,0.05,3.3,3.3,-1,-1,0,0,0.04
SM,Manganese Silicon,5,2,0.05,0.05,3.3,3.3,-1,-1,0,0,0.04
ZC,Thermal Coal(New),100,0.2,0.05,0.05,4.4,4.4,-1,-1,0,0,0.04
a1609,No.1 Soybeans,10,1,0.1,0.1,4,4,-1,-1,0,0,0.04
a1701,No.1 Soybeans,10,1,0.1,0.1,4,4,-1,-1,0,0,0.04
B,No.2 Soybeans,10,1,0.05,0.05,2.2,2.2,-1,-1,0,0,0.04
m1609,Soybean Meal,10,1,0.1,0.1,3.75,3.75,-1,-1,0,0,0.04
m1701,Soybean Meal,10,1,0.1,0.1,3.75,3.75,-1,-1,0,0,0.04
C,Corn,10,1,0.05,0.05,1.32,1.32,-1,-1,0,0,0.04
y1701,Soybean Oil,10,2,0.1,0.1,4,4,-1,-1,0,0,0.04
L,LLDPE,5,5,0.05,0.05,2.2,2.2,-1,-1,0,0,0.04
P,RBD Palm Olein,10,2,0.05,0.05,2.75,2.75,-1,-1,0,0,0.04
V,PVC,5,5,0.05,0.05,2.2,2.2,-1,-1,0,0,0.04
J,Metallurgical Coke,100,0.5,0.05,0.05,-1,-1,6.6e-05,6.6e-05,0,0,0.04
JM,Coking Coal,60,0.5,0.05,0.05,-1,-1,8.8e-05,8.8e-05,0,0,0.04
I,Iron Ore,100,0.5,0.05,0.05,-1,-1,6.6e-05,6.6e-05,0,0,0.04
JD,Egg,5,1,0.05,0.05,-1,-1,0.000165,0.000165,0,0,0.04
BB,Blockboard,500,0.05,0.05,0.05,-1,-1,0.00011,0.00011,0,0,0.04
FB,Fiberboard,500,0.05,0.05,0.05,-1,-1,0.00011,0.00011,0,0,0.04
PP,Polypropylene,5,1,0.05,0.05,-1,-1,7.7e-05,7.7e-05,0,0,0.04
CS,Corn Starch,10,1,0.05,0.05,1.65,1.65,-1,-1,0,0,0.04
IF,CSI 300 Index Futures,300,0.2,0.08,0.08,-1,-1,2.75e-05,2.75e-05,0,0,0.1
TF,5-year Treasury Bond Futures,100,0.005,0.01,0.01,4.5,4.5,-1,-1,0,0,0.012
T,10-year Treasury Bond Futures,100,0.005,0.02,0.02,4.5,4.5,-1,-1,0,0,0.02
IH,SSE 50 Index Futures,300,0.2,0.08,0.08,-1,-1,2.75e-05,2.75e-05,0,0,0.1
IC,CSI 500 Index Futures,200,0.2,0.08,0.08,-1,-1,2.75e-05,2.75e-05,0,0,0.1
